date,close,volume,open,high,low
10/9/2017,155.84,16243080,155.81,156.73,155.485
10/6/2017,155.3,17223790,154.97,155.49,154.56
10/5/2017,155.39,21215870,154.18,155.44,154.05
10/4/2017,153.48,20088940,153.63,153.86,152.46
10/3/2017,154.48,16216800,154.01,155.09,153.91
10/2/2017,153.81,18631540,154.26,154.45,152.72
9/29/2017,154.12,26204670,153.21,154.13,152
9/28/2017,153.28,21983410,153.89,154.28,152.7
9/27/2017,154.23,25402270,153.8,154.7189,153.54
9/26/2017,153.14,35907770,151.78,153.92,151.69
9/25/2017,150.55,44366140,149.99,151.83,149.16
9/22/2017,151.89,46575410,152.02,152.27,150.56
9/21/2017,153.39,37350060,155.8,155.8,152.75
9/20/2017,156.07,52126240,157.9,158.26,153.83
9/19/2017,158.73,20565620,159.51,159.77,158.44
9/18/2017,158.67,28157630,160.11,160.5,157.995
9/15/2017,159.88,48846060,158.47,160.97,158
9/14/2017,158.28,23637310,158.99,159.4,158.09
9/13/2017,159.65,44866280,159.87,159.96,157.91
9/12/2017,160.86,71574560,162.61,163.96,158.77
9/11/2017,161.5,31506890,160.5,162.05,159.89
9/8/2017,158.63,28411740,160.86,161.15,158.53
9/7/2017,161.26,21905160,162.09,162.24,160.36
9/6/2017,161.91,21610300,162.71,162.99,160.52
9/5/2017,162.08,29491910,163.75,164.25,160.56
9/1/2017,164.05,16564340,164.8,164.94,163.63
8/31/2017,164,26729940,163.64,164.52,163.48
8/30/2017,163.35,27215770,163.8,163.89,162.61
8/29/2017,162.91,29451050,160.1,163.12,160
8/28/2017,161.47,25649890,160.14,162,159.93
8/25/2017,159.86,25184600,159.65,160.56,159.27
8/24/2017,159.27,19782170,160.43,160.74,158.55
8/23/2017,159.98,19376940,159.07,160.47,158.88
8/22/2017,159.78,21564890,158.23,160,158.02
8/21/2017,157.21,26330070,157.5,157.89,155.1101
8/18/2017,157.5,27391950,157.86,159.5,156.72
8/17/2017,157.86,27377960,160.52,160.71,157.84
8/16/2017,160.95,27607370,161.94,162.51,160.15
8/15/2017,161.6,29377630,160.66,162.195,160.14
8/14/2017,159.85,22074760,159.32,160.21,158.75
8/11/2017,157.48,26208970,156.6,158.5728,156.07
8/10/2017,155.32,39636190,159.9,160,154.63
8/9/2017,161.06,26060430,159.26,161.27,159.11
8/8/2017,160.08,36127490,158.6,161.83,158.27
8/7/2017,158.81,21827400,157.06,158.92,156.6701
8/4/2017,156.39,20514810,156.07,157.4,155.69
8/3/2017,155.57,26604140,157.05,157.21,155.02
8/2/2017,157.14,69726440,159.28,159.75,156.16
8/1/2017,150.05,33669020,149.1,150.22,148.41
7/31/2017,148.73,19690420,149.9,150.33,148.13
7/28/2017,149.5,17192770,149.89,150.23,149.19
7/27/2017,150.56,32429770,153.75,153.99,147.3
7/26/2017,153.46,15649120,153.35,153.93,153.06
7/25/2017,152.74,18798250,151.8,153.84,151.8
7/24/2017,152.09,21466370,150.58,152.44,149.9
7/21/2017,150.27,25111310,149.99,150.44,148.88
7/20/2017,150.34,17170490,151.5,151.74,150.19
7/19/2017,151.02,20859830,150.48,151.42,149.95
7/18/2017,150.08,17837130,149.2,150.13,148.67
7/17/2017,149.56,23765710,148.82,150.9,148.57
7/14/2017,149.04,20117070,147.97,149.33,147.33
7/13/2017,147.77,25080500,145.5,148.49,145.44
7/12/2017,145.74,24833800,145.87,146.18,144.82
7/11/2017,145.53,18647220,144.73,145.85,144.38
7/10/2017,145.06,21080580,144.11,145.95,143.37
